"","Country","Year","GC_Top Marginal Rates"
"232","GBR",2021,0.4
"233","IRL",1964,0.4
"234","IRL",1965,0.4
"235","IRL",1966,0.4
"236","IRL",1967,0.4
"237","IRL",1968,0.4
"238","IRL",1969,0.4
"239","IRL",1970,0.4
"240","IRL",1971,0.4
"241","IRL",1972,0.55
"242","IRL",1973,0.55
"243","IRL",1974,0.55
"244","IRL",1975,0.5
"245","IRL",1976,0.5
"246","IRL",1977,0.5
"247","IRL",1978,0.5
"248","IRL",1979,0.5
"249","IRL",1980,0.5
"250","IRL",1981,0.5
"251","IRL",1982,0.5
"252","IRL",1983,0.5
"253","IRL",1984,0.55
"254","IRL",1985,0.55
"255","IRL",1986,0.55
"256","IRL",1987,0.55
"257","IRL",1988,0.55
"258","IRL",1989,0.55
"259","IRL",1990,0.55
"260","IRL",1991,0.4
"261","IRL",1992,0.4
"262","IRL",1993,0.4
"263","IRL",1994,0.4
"264","IRL",1995,0.4
"265","IRL",1996,0.4
"266","IRL",1997,0.4
"267","IRL",1998,0.4
"268","IRL",1999,0.4
"269","IRL",2000,0.2
"270","IRL",2001,0.2
"271","IRL",2002,0.2
"272","IRL",2003,0.2
"273","IRL",2004,0.2
"274","IRL",2005,0.2
"275","IRL",2006,0.2
"276","IRL",2007,0.2
"277","IRL",2008,0.2
"278","IRL",2009,0.25
"279","IRL",2010,0.25
"280","IRL",2011,0.25
"281","IRL",2012,0.3
"282","IRL",2013,0.33
"283","IRL",2014,0.33
"284","IRL",2015,0.33
"285","IRL",2016,0.33
"286","IRL",2017,0.33
"287","IRL",2018,0.33
"288","IRL",2019,0.33
"289","IRL",2020,0.33
"290","IRL",2021,0.33
"291","SWE",1964,0.6
"292","SWE",1965,0.6
"293","SWE",1966,0.6
"294","SWE",1967,0.6
"295","SWE",1968,0.6
"296","SWE",1969,0.6
"297","SWE",1970,0.6
"298","SWE",1971,0.65
"299","SWE",1972,0.65
"300","SWE",1973,0.65
"301","SWE",1974,0.65
"302","SWE",1975,0.65
"303","SWE",1976,0.65
"304","SWE",1977,0.65
"305","SWE",1978,0.65
"306","SWE",1979,0.65
"307","SWE",1980,0.65
"308","SWE",1981,0.65
"309","SWE",1982,0.65
"310","SWE",1983,0.7
"311","SWE",1984,0.7
"312","SWE",1985,0.7
"313","SWE",1986,0.7
"314","SWE",1987,0.6
"315","SWE",1988,0.6
"316","SWE",1989,0.6
"317","SWE",1990,0.6
"318","SWE",1991,0.6
"319","SWE",1992,0.3
"320","SWE",1993,0.3
"321","SWE",1994,0.3
"322","SWE",1995,0.3
"323","SWE",1996,0.3
"324","SWE",1997,0.3
"325","SWE",1998,0.3
"326","SWE",1999,0.3
"327","SWE",2000,0.3
"328","SWE",2001,0.3
"329","SWE",2002,0.3
"330","SWE",2003,0.3
"331","SWE",2004,0.3
"332","SWE",2005,0
"333","SWE",2006,0
"334","SWE",2007,0
"335","SWE",2008,0
"336","SWE",2009,0
"337","SWE",2010,0
"338","SWE",2011,0
"339","SWE",2012,0
"340","SWE",2013,0
"341","SWE",2014,0
"342","SWE",2015,0
"343","SWE",2016,0
"344","SWE",2017,0
"345","SWE",2018,0
"346","SWE",2019,0
"347","SWE",2020,0
"348","SWE",2021,0
"349","FRA",1964,0.15
"350","FRA",1965,0.15
"351","FRA",1966,0.15
"352","FRA",1967,0.15
"353","FRA",1968,0.15
"354","FRA",1969,0.15
"355","FRA",1970,0.2
"356","FRA",1971,0.2
"357","FRA",1972,0.2
"358","FRA",1973,0.2
"359","FRA",1974,0.2
"360","FRA",1975,0.2
"361","FRA",1976,0.2
"362","FRA",1977,0.2
"363","FRA",1978,0.2
"364","FRA",1979,0.2
"365","FRA",1980,0.2
"366","FRA",1981,0.2
"367","FRA",1982,0.2
"368","FRA",1983,0.4
"369","FRA",1984,0.4
"370","FRA",1985,0.4
"371","FRA",1986,0.4
"372","FRA",1987,0.4
"373","FRA",1988,0.4
"374","FRA",1989,0.4
"375","FRA",1990,0.4
"376","FRA",1991,0.4
"377","FRA",1992,0.4
"378","FRA",1993,0.4
"379","FRA",1994,0.4
"380","FRA",1995,0.4
"381","FRA",1996,0.4
"382","FRA",1997,0.4
"383","FRA",1998,0.4
"384","FRA",1999,0.4
"385","FRA",2000,0.4
"386","FRA",2001,0.4
"387","FRA",2002,0.4
"388","FRA",2003,0.4
"389","FRA",2004,0.4
"390","FRA",2005,0.4
"391","FRA",2006,0.4
"392","FRA",2007,0.4
"393","FRA",2008,0.4
"394","FRA",2009,0.4
"395","FRA",2010,0.4
"396","FRA",2011,0.4
"397","FRA",2012,0.45
"398","FRA",2013,0.45
"399","FRA",2014,0.45
"400","FRA",2015,0.45
"401","FRA",2016,0.45
"402","FRA",2017,0.45
"403","FRA",2018,0.45
"404","FRA",2019,0.45
"405","FRA",2020,0.45
"406","FRA",2021,0.45
"407","DEU",1964,0.15
"408","DEU",1965,0.15
"409","DEU",1966,0.15
"410","DEU",1967,0.15
"411","DEU",1968,0.15
"412","DEU",1969,0.15
"413","DEU",1970,0.15
"414","DEU",1971,0.15
"415","DEU",1972,0.15
"416","DEU",1973,0.15
"417","DEU",1974,0.35
"418","DEU",1975,0.35
"419","DEU",1976,0.35
"420","DEU",1977,0.35
"421","DEU",1978,0.35
"422","DEU",1979,0.35
"423","DEU",1980,0.35
"424","DEU",1981,0.35
"425","DEU",1982,0.35
"426","DEU",1983,0.35
"427","DEU",1984,0.35
"428","DEU",1985,0.35
"429","DEU",1986,0.35
"430","DEU",1987,0.35
"431","DEU",1988,0.35
"432","DEU",1989,0.35
"433","DEU",1990,0.35
"434","DEU",1991,0.35
"435","DEU",1992,0.35
"436","DEU",1993,0.35
"437","DEU",1994,0.35
"438","DEU",1995,0.35
"439","DEU",1996,0.35
"440","DEU",1997,0.3
"441","DEU",1998,0.3
"442","DEU",1999,0.3
"443","DEU",2000,0.3
"444","DEU",2001,0.3
"445","DEU",2002,0.3
"446","DEU",2003,0.3
"447","DEU",2004,0.3
"448","DEU",2005,0.3
"449","DEU",2006,0.3
"450","DEU",2007,0.3
"451","DEU",2008,0.3
"452","DEU",2009,0.3
"453","DEU",2010,0.3
"454","DEU",2011,0.3
"455","DEU",2012,0.3
"456","DEU",2013,0.3
"457","DEU",2014,0.3
"458","DEU",2015,0.3
"459","DEU",2016,0.3
"460","DEU",2017,0.3
"461","DEU",2018,0.3
"462","DEU",2019,0.3
"463","DEU",2020,0.3
"464","DEU",2021,0.3
"465","DNK",1964,0.2
"466","DNK",1965,0.2
"467","DNK",1966,0.2
"468","DNK",1967,0.2
"469","DNK",1968,0.2
"470","DNK",1969,0.2
"471","DNK",1970,0.2
"472","DNK",1971,0.2
"473","DNK",1972,0.32
"474","DNK",1973,0.32
"475","DNK",1974,0.32
"476","DNK",1975,0.32
"477","DNK",1976,0.32
"478","DNK",1977,0.32
"479","DNK",1978,0.32
"480","DNK",1979,0.32
"481","DNK",1980,0.32
"482","DNK",1981,0.32
"483","DNK",1982,0.32
"484","DNK",1983,0.32
"485","DNK",1984,0.32
"486","DNK",1985,0.32
"487","DNK",1986,0.32
"488","DNK",1987,0.32
"489","DNK",1988,0.32
"490","DNK",1989,0.32
"491","DNK",1990,0.32
"492","DNK",1991,0.32
"493","DNK",1992,0.32
"494","DNK",1993,0.32
"495","DNK",1994,0.32
"496","DNK",1995,0.15
"497","DNK",1996,0.15
"498","DNK",1997,0.15
"499","DNK",1998,0.15
"500","DNK",1999,0.15
"501","DNK",2000,0.15
"502","DNK",2001,0.15
"503","DNK",2002,0.15
"504","DNK",2003,0.15
"505","DNK",2004,0.15
"506","DNK",2005,0.15
"507","DNK",2006,0.15
"508","DNK",2007,0.15
"509","DNK",2008,0.15
"510","DNK",2009,0.15
"511","DNK",2010,0.15
"512","DNK",2011,0.15
"513","DNK",2012,0.15
"514","DNK",2013,0.15
"515","DNK",2014,0.15
"516","DNK",2015,0.15
"517","DNK",2016,0.15
"518","DNK",2017,0.15
"519","DNK",2018,0.15
"520","DNK",2019,0.15
"521","DNK",2020,0.15
"522","DNK",2021,0.15
"523","NOR",1964,0.35
"524","NOR",1965,0.35
"525","NOR",1966,0.35
"526","NOR",1967,0.35
"527","NOR",1968,0.35
"528","NOR",1969,0.35
"529","NOR",1970,0.35
"530","NOR",1971,0.35
"531","NOR",1972,0.35
"532","NOR",1973,0.35
"533","NOR",1974,0.35
"534","NOR",1975,0.35
"535","NOR",1976,0.35
"536","NOR",1977,0.35
"537","NOR",1978,0.35
"538","NOR",1979,0.35
"539","NOR",1980,0.35
"540","NOR",1981,0.35
"541","NOR",1982,0.3
"542","NOR",1983,0.25
"543","NOR",1984,0.25
"544","NOR",1985,0.2
"545","NOR",1986,0.2
"546","NOR",1987,0.2
"547","NOR",1988,0.2
"548","NOR",1989,0.2
"549","NOR",1990,0.2
"550","NOR",1991,0.2
"551","NOR",1992,0.2
"552","NOR",1993,0.2
"553","NOR",1994,0.2
"554","NOR",1995,0.2
"555","NOR",1996,0.2
"556","NOR",1997,0.2
