"","Country","Year","Unemployment_rate","GDP_constant_billions","GDP_current_billions"
"122","AFE",2017,NA,977.721984314083,1028.39429126059
"123","AFE",2018,NA,1002.08050688549,1012.52142529635
"124","AFE",2019,NA,1022.52913171811,1006.19100019048
"125","AFE",2020,NA,993.908151992364,928.880235176594
"126","AFE",2021,NA,1036.65058394943,1086.5307049005
"127","AFE",2022,NA,1072.26095970431,1185.13770365099
"128","AFE",NA,NA,NA,NA
"129","AFG",1960,NA,NA,0.537777811111111
"130","AFG",1961,NA,NA,0.548888895555556
"131","AFG",1962,NA,NA,0.546666677777778
"132","AFG",1963,NA,NA,0.751111191111111
"133","AFG",1964,NA,NA,0.800000044444444
"134","AFG",1965,NA,NA,1.00666663777778
"135","AFG",1966,NA,NA,1.39999996666667
"136","AFG",1967,NA,NA,1.67333341777778
"137","AFG",1968,NA,NA,1.37333336666667
"138","AFG",1969,NA,NA,1.40888892222222
"139","AFG",1970,NA,NA,1.74888659555556
"140","AFG",1971,NA,NA,1.83110897111111
"141","AFG",1972,NA,NA,1.59555547555556
"142","AFG",1973,NA,NA,1.73333326444444
"143","AFG",1974,NA,NA,2.15555549777778
"144","AFG",1975,NA,NA,2.36666661555556
"145","AFG",1976,NA,NA,2.55555556666667
"146","AFG",1977,NA,NA,2.95333341777778
"147","AFG",1978,NA,NA,3.30000010888889
"148","AFG",1979,NA,NA,3.69794040961098
"149","AFG",1980,NA,NA,3.64172332199546
"150","AFG",1981,NA,NA,3.47878790909091
"151","AFG",1982,NA,NA,NA
"152","AFG",1983,NA,NA,NA
"153","AFG",1984,NA,NA,NA
"154","AFG",1985,NA,NA,NA
"155","AFG",1986,NA,NA,NA
"156","AFG",1987,NA,NA,NA
"157","AFG",1988,NA,NA,NA
"158","AFG",1989,NA,NA,NA
"159","AFG",1990,NA,NA,NA
"160","AFG",1991,NA,NA,NA
"161","AFG",1992,NA,NA,NA
"162","AFG",1993,NA,NA,NA
"163","AFG",1994,NA,NA,NA
"164","AFG",1995,NA,NA,NA
"165","AFG",1996,NA,NA,NA
"166","AFG",1997,NA,NA,NA
"167","AFG",1998,NA,NA,NA
"168","AFG",1999,NA,NA,NA
"169","AFG",2000,NA,NA,NA
"170","AFG",2001,NA,NA,NA
"171","AFG",2002,NA,7.22879595644078,3.82570140551958
"172","AFG",2003,NA,7.8672632978222,4.52094684932079
"173","AFG",2004,NA,7.97851568269705,5.22489671867782
"174","AFG",2005,NA,8.87448024102355,6.20325649709044
"175","AFG",2006,NA,9.34992193398889,6.97175833288917
"176","AFG",2007,NA,10.6426720180685,9.74788610453251
"177","AFG",2008,2.495,11.0603951729653,10.1092969576569
"178","AFG",2009,NA,13.4262721428283,12.4161526480573
"179","AFG",2010,NA,15.3546126208467,15.856668496388
"180","AFG",2011,NA,15.4200777464016,17.8050983672952
"181","AFG",2012,1.692,17.386490329926,19.9073299059776
"182","AFG",2013,NA,18.3602632583072,20.1464168763886
"183","AFG",2014,7.915,18.860496592515,20.4971286003363
"184","AFG",2015,NA,19.1342217445294,19.1342217445294
"185","AFG",2016,NA,19.5667152759301,18.1165723991298
"186","AFG",2017,11.184,20.0846468558018,18.7534565065708
"187","AFG",2018,NA,20.3234991256969,18.0532227348881
"188","AFG",2019,NA,21.118473812444,18.7994444145998
"189","AFG",2020,11.71,20.6219572324181,19.955929060841
"190","AFG",2021,5.58,16.3452026475247,14.2664994298746
"191","AFG",2022,NA,NA,NA
"192","AFG",NA,NA,NA,NA
"193","AFW",1960,NA,105.891214249714,10.4116462873058
"194","AFW",1961,NA,107.858383722031,11.1359247279409
"195","AFW",1962,NA,111.927818666183,11.9517122820428
"196","AFW",1963,NA,120.073081718246,12.6858058898937
"197","AFW",1964,NA,126.572577287439,13.8489986686184
"198","AFW",1965,NA,131.742749751938,14.8747558335382
"199","AFW",1966,NA,129.402531389772,15.8455753032224
"200","AFW",1967,NA,117.045172395973,14.4284929618549
"201","AFW",1968,NA,118.75275880968,14.8805018611181
"202","AFW",1969,NA,137.202886942971,16.8822846623657
"203","AFW",1970,NA,161.774794688775,23.5049603119234
"204","AFW",1971,NA,179.250835282128,20.8433261706302
