"","Country","Country_Name","Year","TaxRev_Income_IPC_1000","TaxRev_Social_SSC_2000","TaxRev_Payroll_PW_3000","TaxRev_Property_4000","TaxRev_ImmovProp_4100","TaxRev_NetWealth_4200","TaxRev_EIG_4300","TaxRev_GoodsServices_5000","TaxRev_Others_6000","TaxRev_TotalofGDP","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","v2peedueq","v2x_corr","v2x_libdem","Unemployment_rate","GDP_constant_billions","GDP_current_billions","welfare_regime"
"28","AUT","Austria",2007,29.804,33.395,6.31,1.365,0.544,0,0.135,28.319,0.806,40.548,0.795374915476231,0.0075,0.6129,0.2328,1.643,0.083,0.8,4.909,364.484726093492,389.185571506052,"Cons"
"29","AUT","Austria",1996,27.643,34.566,6.575,1.422,0.606,0.053,0.115,29.013,0.782,42.641,0.791440689007366,0.008,0.6061,0.223,1.643,0.088,0.78,5.291,274.886456416226,237.250948791266,"Cons"
"30","AUT","Austria",2020,27.779,36.809,6.515,1.369,0.537,0,0,27.1,0.429,42.086,0.769174662527575,0.0281,0.6127,0.2951,2.431,0.07,0.756,5.201,386.49230260855,435.049316955737,"Cons"
"31","AUT","Austria",2008,30.611,33.034,6.515,1.262,0.535,0,0.112,27.794,0.784,41.391,0.796545303969822,0.0074,0.615,0.2364,1.643,0.083,0.799,4.198,369.807747327812,432.051935642945,"Cons"
"32","AUT","Austria",2021,29.51,35.415,6.455,1.455,0.506,0,0,26.743,0.422,43.284,0.771683779114198,0.0278,0.6169,0.3028,2.015,0.114,0.751,6.459,402.871331324597,479.295362747047,"Cons"
"33","AUT","Austria",2013,28.814,33.922,6.871,1.695,0.533,0,0.014,28.024,0.674,42.635,0.777906830426986,0.0196,0.6061,0.2802,1.643,0.059,0.797,5.367,375.650886015,430.190979705962,"Cons"
"34","AUT","Austria",2017,28.279,34.863,6.624,1.256,0.521,0,0,28.463,0.515,41.871,0.768791725445425,0.0281,0.612,0.2932,1.643,0.069,0.771,5.561,398.368950204699,417.261151844977,"Cons"
"35","AUT","Austria",2018,29.332,34.806,6.397,1.29,0.496,0,0.005,27.698,0.476,42.261,0.770633939110667,0.0279,0.6151,0.2987,1.643,0.075,0.754,4.933,408.030932405258,454.991174096102,"Cons"
"36","AUT","Austria",1995,26.129,35.649,6.884,1.483,0.628,0.08,0.113,29.038,0.818,41.271,0.791217416091717,0.0081,0.6058,0.2227,1.643,0.088,0.774,4.353,268.57616842157,241.038283062645,"Cons"
"37","AUT","Austria",2016,27.978,34.711,6.966,1.308,0.516,0,0.002,28.535,0.502,41.753,0.771152215430533,0.0251,0.6072,0.2875,1.643,0.059,0.767,6.064,389.570224508691,395.837353031499,"Cons"
"38","AUT","Austria",2004,28.921,33.403,6.273,1.287,0.579,0,0.152,29.232,0.882,41.958,0.793235811243967,0.0079,0.6094,0.2288,1.643,0.119,0.783,5.969,332.200441760824,301.457562038541,"Cons"
"39","AUT","Austria",2005,28.333,33.885,6.309,1.32,0.582,0,0.134,29.324,0.829,41.012,0.795812792145064,0.0075,0.6137,0.2338,1.643,0.119,0.784,5.682,339.655236682676,316.092273276015,"Cons"
"40","AUT","Austria",2019,29.475,34.908,6.366,1.275,0.49,0,0,27.495,0.481,42.615,0.769897444587315,0.028,0.6139,0.2973,2.37,0.085,0.773,4.56,413.949540159265,444.596155845254,"Cons"
"41","AUT","Austria",2006,28.682,34.029,6.344,1.395,0.567,0,0.122,28.712,0.838,40.408,0.798648209287741,0.0068,0.6179,0.2369,1.643,0.104,0.787,5.32,351.38707065634,336.280064332411,"Cons"
"42","AUT","Austria",2010,28.072,34.179,6.897,1.283,0.563,0,0.029,28.665,0.903,40.958,0.794926137774496,0.0077,0.6123,0.2331,1.643,0.083,0.795,4.883,362.424005611476,392.275107258667,"Cons"
"43","AUT","Austria",2011,28.289,33.993,6.866,1.236,0.544,0,0.026,28.901,0.715,41.119,0.789395478135418,0.0111,0.6084,0.2493,1.643,0.088,0.792,4.637,373.016924602914,431.685217367511,"Cons"
"44","AUT","Austria",2001,31.031,32.456,6.198,1.3,0.563,0,0.171,28.196,0.819,43.886,0.791865079728222,0.008,0.6068,0.2236,1.643,0.111,0.785,6.4,315.135711888113,197.508773215323,"Cons"
"45","AUT","Austria",2012,28.602,33.749,6.88,1.326,0.533,0,0.016,28.722,0.72,41.767,0.784408727451904,0.0149,0.6074,0.2654,1.643,0.083,0.797,4.909,375.555101767152,409.401816050531,"Cons"
"46","AUT","Austria",2015,30.172,33.587,6.763,1.324,0.513,0,0.008,27.658,0.497,43.126,0.773780233374339,0.0232,0.6071,0.2902,1.643,0.059,0.795,5.802,381.971148530543,381.971148530543,"Cons"
"47","AUT","Austria",2000,28.291,33.778,6.408,1.336,0.583,0.001,0.123,29.335,0.852,42.285,0.792918929004507,0.0077,0.6085,0.225,1.643,0.097,0.785,4.694,311.192381028414,197.289625479906,"Cons"
"48","AUT","Austria",2014,29.338,33.96,6.875,1.399,0.526,0,0.003,27.873,0.556,42.699,0.773569425810763,0.0226,0.6042,0.2907,1.643,0.059,0.796,5.674,378.134963330691,442.584815286034,"Cons"
"49","AUT","Austria",2002,29.334,32.925,6.339,1.246,0.574,0,0.153,29.287,0.868,42.697,0.792787158452629,0.0078,0.6082,0.2248,1.643,0.111,0.785,4.86,320.340348097004,214.39486667524,"Cons"
"50","AUT","Austria",2003,29.132,33.224,6.365,1.284,0.587,0,0.16,29.173,0.823,42.409,0.795163903293727,0.0073,0.612,0.2287,1.643,0.1,0.782,4.785,323.356259321687,262.273631180054,"Cons"
"51","AUT","Austria",1999,28.199,33.797,6.4,1.329,0.586,0.008,0.136,29.466,0.81,43.09,0.792078598798248,0.0081,0.6075,0.2266,1.643,0.088,0.778,4.707,301.030430129082,217.259147049954,"Cons"
"52","AUT","Austria",1997,28.495,33.824,6.419,1.327,0.59,0.027,0.11,29.123,0.813,43.44,0.792080605274149,0.0079,0.6071,0.2239,1.643,0.088,0.78,5.157,280.641477589641,212.790348404555,"Cons"
"53","AUT","Austria",2009,27.77,34.422,6.899,1.28,0.565,0,0.098,28.792,0.837,40.98,0.794090509753531,0.0079,0.611,0.2318,1.643,0.083,0.797,5.371,355.886045571664,401.758735822211,"Cons"
"54","AUT","Austria",1998,28.803,33.623,6.367,1.316,0.582,0.008,0.122,28.97,0.92,43.447,0.79289562384246,0.0077,0.6084,0.225,1.643,0.088,0.778,5.493,290.692443914523,218.259904401956,"Cons"
"55","BEL","Belgium",1998,38.918,31.458,0,4.667,1.09,0.065,0.863,24.957,0,44.437,0.672642369751362,0.0756,0.5264,0.1783,3.35,0.021,0.811,9.323,340.541460104062,258.528339631029,"Cons"
"56","BEL","Belgium",1996,37.671,32.538,0,4.109,1.12,0.011,0.841,25.682,0,43.351,0.672758205267325,0.0756,0.5266,0.1784,3.35,0.039,0.814,9.483,321.781927100664,279.201433224756,"Cons"
"57","BEL","Belgium",1997,38.195,31.789,0,4.39,1.122,0.058,0.773,25.627,0,43.812,0.672857219588527,0.0756,0.5268,0.1785,3.35,0.021,0.814,8.95,333.989231728476,252.708051420839,"Cons"
"58","BEL","Belgium",2008,35.997,31.63,0.004,7.02,2.821,0.159,1.434,25.311,0.038,43.593,0.673088028605804,0.0755,0.5269,0.1802,3.35,0.021,0.827,6.976,430.025228051015,517.328087920078,"Cons"
"59","BEL","Belgium",2000,38.624,30.806,0,4.698,1.036,0.082,0.979,25.872,0,43.849,0.672653915368299,0.0756,0.5265,0.1783,3.35,0.021,0.819,6.586,365.711203833047,236.792460312471,"Cons"
"60","BEL","Belgium",2001,39.163,31.325,0,4.539,1.012,0.083,0.981,24.973,0,43.692,0.672519744410852,0.0756,0.5262,0.1784,3.35,0.021,0.819,6.178,369.732633305117,236.74614160437,"Cons"
"61","BEL","Belgium",2004,37.96,31.062,0,5.247,1.056,0.117,1.211,25.686,0.045,43.471,0.672554202657228,0.0756,0.5262,0.1784,3.35,0.021,0.796,7.363,393.51548592082,369.214712443206,"Cons"
"62","BEL","Belgium",2005,36.364,30.677,0.003,6.971,2.85,0.14,1.301,25.933,0.051,43.357,0.672435639128134,0.0756,0.526,0.1784,3.35,0.021,0.811,8.44,402.651880769961,385.714762230039,"Cons"
"63","BEL","Belgium",2006,36.114,30.689,0.004,7.273,2.855,0.149,1.388,25.869,0.05,43.218,0.673444145546927,0.0754,0.5276,0.1804,3.35,0.021,0.815,8.246,412.928965821953,408.259840868823,"Cons"
"64","BEL","Belgium",2003,38.082,31.847,0,4.717,1.112,0.085,1.06,25.301,0.053,43.344,0.672060268282301,0.0757,0.5254,0.1777,3.35,0.021,0.82,7.68,379.946808976211,318.082528506588,"Cons"
"65","BEL","Belgium",2017,36.521,30.62,0.004,7.897,2.952,0.476,1.6,24.958,0,43.797,0.672242360804198,0.0702,0.5208,0.1475,2.559,0.021,0.83,7.086,475.774660680469,502.764720556354,"Cons"
"66","BEL","Belgium",2019,35.386,31.104,0.004,8.063,3.029,0.454,1.447,25.442,0,42.389,0.673808850449042,0.0699,0.5234,0.1502,2.559,0.021,0.833,5.36,495.15751802582,535.865804349803,"Cons"
"67","BEL","Belgium",2009,33.889,33.441,0.004,6.926,3.001,0.141,1.386,25.7,0.04,42.699,0.672226191939647,0.0757,0.5256,0.1784,3.35,0.021,0.829,7.908,421.33552309164,483.254171097812,"Cons"
"68","BEL","Belgium",1995,38.118,32.772,0,3.82,1.024,0.008,0.763,25.29,0,42.837,0.672550187001903,0.0756,0.5263,0.1781,3.35,0.039,0.81,9.337,317.585194591875,288.025588396278,"Cons"
"69","BEL","Belgium",2011,34.71,32.365,0.005,7.298,2.967,0.156,1.488,25.596,0.026,43.508,0.672441674710875,0.0745,0.5224,0.1771,3.35,0.021,0.835,7.14,440.747893479883,523.330354138133,"Cons"
"70","BEL","Belgium",2013,35.446,31.839,0.004,7.803,2.932,0.255,1.75,24.881,0.026,45.033,0.659165657556535,0.0788,0.5047,0.1617,2.559,0.021,0.834,8.425,446.045040873594,521.79101524706,"Cons"
"71","BEL","Belgium",2014,35.802,31.652,0.004,7.905,2.962,0.346,1.53,24.614,0.024,44.75,0.663271955387771,0.0767,0.5085,0.1644,2.559,0.021,0.833,8.523,453.0860096775,535.390200131018,"Cons"
