"","Year","Wealth_Gini","Country"
"140",2022,0.888786270288136,"AGO"
"141",1995,0.775524525324158,"ARG"
"142",1996,0.778236468783859,"ARG"
"143",1997,0.779911951562724,"ARG"
"144",1998,0.777007043004403,"ARG"
"145",1999,0.77591638082697,"ARG"
"146",2000,0.772923118596623,"ARG"
"147",2001,0.756819680130377,"ARG"
"148",2002,0.766821550600042,"ARG"
"149",2003,0.777864207975682,"ARG"
"150",2004,0.7800590754361,"ARG"
"151",2005,0.74145795869137,"ARG"
"152",2006,0.886433183644129,"ARG"
"153",2007,0.783483969690877,"ARG"
"154",2008,0.751815950796242,"ARG"
"155",2009,0.873094911519843,"ARG"
"156",2010,0.742067207816746,"ARG"
"157",2011,0.797698783617477,"ARG"
"158",2012,0.732967494330694,"ARG"
"159",2013,0.73893815711412,"ARG"
"160",2014,0.737162111080977,"ARG"
"161",2015,0.737197667407486,"ARG"
"162",2016,0.758671564822947,"ARG"
"163",2017,0.739051335050874,"ARG"
"164",2018,0.740475665569903,"ARG"
"165",2019,0.738029852555428,"ARG"
"166",2020,0.737421943235148,"ARG"
"167",2021,0.739577782395969,"ARG"
"168",2022,0.740141817007725,"ARG"
"169",1995,0.791217416091717,"AUT"
"170",1996,0.791440689007366,"AUT"
"171",1997,0.792080605274149,"AUT"
"172",1998,0.79289562384246,"AUT"
"173",1999,0.792078598798248,"AUT"
"174",2000,0.792918929004507,"AUT"
"175",2001,0.791865079728222,"AUT"
"176",2002,0.792787158452629,"AUT"
"177",2003,0.795163903293727,"AUT"
"178",2004,0.793235811243967,"AUT"
"179",2005,0.795812792145064,"AUT"
"180",2006,0.798648209287741,"AUT"
"181",2007,0.795374915476231,"AUT"
"182",2008,0.796545303969822,"AUT"
"183",2009,0.794090509753531,"AUT"
"184",2010,0.794926137774496,"AUT"
"185",2011,0.789395478135418,"AUT"
"186",2012,0.784408727451904,"AUT"
"187",2013,0.777906830426986,"AUT"
"188",2014,0.773569425810763,"AUT"
"189",2015,0.773780233374339,"AUT"
"190",2016,0.771152215430533,"AUT"
"191",2017,0.768791725445425,"AUT"
"192",2018,0.770633939110667,"AUT"
"193",2019,0.769897444587315,"AUT"
"194",2020,0.769174662527575,"AUT"
"195",2021,0.771683779114198,"AUT"
"196",2022,0.770995043640625,"AUT"
"197",1995,0.719375058413419,"AUS"
"198",1996,0.719330988811265,"AUS"
"199",1997,0.719522025647905,"AUS"
"200",1998,0.719612819011445,"AUS"
"201",1999,0.720588111458511,"AUS"
"202",2000,0.721171519871831,"AUS"
"203",2001,0.720049273832402,"AUS"
"204",2002,0.720588111458511,"AUS"
"205",2003,0.720625415322303,"AUS"
"206",2004,0.721116277181096,"AUS"
"207",2005,0.72151344584617,"AUS"
"208",2006,0.722768146553577,"AUS"
"209",2007,0.721475188135699,"AUS"
"210",2008,0.721217897758436,"AUS"
"211",2009,0.721360307533331,"AUS"
"212",2010,0.721383434146077,"AUS"
"213",2011,0.722584230731997,"AUS"
"214",2012,0.724851979231715,"AUS"
"215",2013,0.726614593825957,"AUS"
"216",2014,0.726584393525201,"AUS"
"217",2015,0.724577183900237,"AUS"
"218",2016,0.723623162492174,"AUS"
"219",2017,0.725927650483442,"AUS"
"220",2018,0.727100987298797,"AUS"
"221",2019,0.726901679899356,"AUS"
"222",2020,0.725695243125813,"AUS"
"223",2021,0.728304398998858,"AUS"
"224",2022,0.72878490223809,"AUS"
"225",1995,0.721116277181096,"AZE"
"226",1996,0.721359046828439,"AZE"
"227",1997,0.72151344584617,"AZE"
"228",1998,0.721669092397846,"AZE"
"229",1999,0.721743228389656,"AZE"
"230",2000,0.721999222476612,"AZE"
"231",2001,0.722587718714678,"AZE"
"232",2002,0.723100323324346,"AZE"
"233",2003,0.723243383350265,"AZE"
"234",2004,0.724092475491958,"AZE"
"235",2005,0.72460620255832,"AZE"
"236",2006,0.724865056207605,"AZE"
"237",2007,0.725269723725404,"AZE"
"238",2008,0.725325716235574,"AZE"
"239",2009,0.724428050999535,"AZE"
"240",2010,0.724115072495749,"AZE"
"241",2011,0.724519205169045,"AZE"
"242",2012,0.725215679956278,"AZE"
"243",2013,0.72530127412918,"AZE"
"244",2014,0.725740721117475,"AZE"
"245",2015,0.72530127412918,"AZE"
"246",2016,0.72471045076189,"AZE"
"247",2017,0.724880864945433,"AZE"
"248",2018,0.725563410267583,"AZE"
"249",2019,0.72555629389791,"AZE"
"250",2020,0.72555629389791,"AZE"
"251",2021,0.72555629389791,"AZE"
"252",2022,0.726047249787086,"AZE"
"253",1995,0.719375058413419,"BIH"
"254",1996,0.719438986366015,"BIH"
"255",1997,0.719655780702126,"BIH"
"256",1998,0.720179293391965,"BIH"
"257",1999,0.720266165449871,"BIH"
"258",2000,0.720588111458511,"BIH"
"259",2001,0.721023144554778,"BIH"
"260",2002,0.721425739823275,"BIH"
"261",2003,0.722642367781759,"BIH"
"262",2004,0.723214068998189,"BIH"
"263",2005,0.723047967897841,"BIH"
"264",2006,0.722325051279029,"BIH"
"265",2007,0.721770562566931,"BIH"
"266",2008,0.723146791270622,"BIH"
"267",2009,0.72311916246845,"BIH"
"268",2010,0.72311916246845,"BIH"
"269",2011,0.723146791270622,"BIH"
"270",2012,0.722437575536446,"BIH"
"271",2013,0.722128836764284,"BIH"
"272",2014,0.721872526245605,"BIH"
"273",2015,0.722325051279029,"BIH"
"274",2016,0.722379354524207,"BIH"
"275",2017,0.722437575536446,"BIH"
"276",2018,0.722437575536446,"BIH"
